長庚學校財團法人長庚科技大學,03-211-8999 #8,03-211-8866,33303 桃園縣龜山鄉文化一路261號,http://www.cgust.edu.tw/,長庚科大
興國管理學院,06-287-3335,06-287-3536,70963 臺南市安南區台江大道3段600號,http://www.hku.edu.tw,興國學院
大華學校財團法人大華科技大學,03-592-7700 #2440,03-592-7871,30740 新竹縣芎林鄉大華路1號,http://www.tust.edu.tw/,大華科大
文藻學校財團法人文藻外語大學,07-342-6031,07-342-7942,80793 高雄市三民區民族一路900號,http://www.wzu.edu.tw,文藻
大漢技術學院,03-821-0888,03-826-2916,97145 花蓮縣新城鄉大漢村樹人街1號,http://www.dahan.edu.tw/,大漢學院
慈濟學校財團法人慈濟技術學院,03-857-2158,03-857-7261,97005 花蓮市建國路二段880號,http://www.tccn.edu.tw/,（無）
永達技術學院,08-723-3733,08-722-7024,90942 屏東縣麟洛鄉麟洛村中山路316號,http://www.ytit.edu.tw/,永達學院
和春技術學院,07-788-9888,07-788-9777,83160 高雄市大寮區琉球里至學路288號,http://www.fotech.edu.tw/,和春
城市學校財團法人臺北城市科技大學,02-2892-7154,02-2896-7170,11202 臺北市北投區學園路2號,http://www.tpcu.edu.tw/,臺北城市大學、城市科大
致理技術學院,02-2257-6167 #1202,02-2258-3710,22050 新北市板橋區文化路1段313號,http://www.chihlee.edu.tw,致理
醒吾學校財團法人醒吾科技大學,02-2601-5310,02-2601-0748,24452 新北市林口區粉寮路一段101號,http://www.hwu.edu.tw/,醒吾科大
亞東技術學院,02-7738-8000,02-7738-2678,22061 新北市板橋區四川路二段58號,http://www.oit.edu.tw/bin/home.php,亞東
桃園創新科技學校財團法人桃園創新技術學院,03-436-1070,03-438-8198,32091 桃園縣中壢市中山東路三段414號,http://www.tiit.edu.tw/,桃創
稻江科技暨管理學院,05-362-2889 #112,05-362-0707,61363 嘉義縣朴子市學府路2段51號,http://www.toko.edu.tw,稻江學院
德霖技術學院,02-2273-3567,02-2273-3995,23654 新北市土城區青雲路380巷1號,http://w3.dlit.edu.tw/index.phtml,德霖技院
南榮學校財團法人南榮科技大學,06-652-3111,06-652-3614,73746 臺南市鹽水區朝琴路178號,http://www.nju.edu.tw/,南榮科大
蘭陽技術學院,03-977-1997,03-978-9899,26141 宜蘭縣頭城鎮復興路79號,http://www.fit.edu.tw/,蘭技
黎明技術學院,02-2909-7811,02-2296-5911,24305 新北市泰山區黎專路2-2號,http://www.lit.edu.tw/,黎明學院
東方學校財團法人東方設計學院,07-693-2011,07-693-1611,82941 高雄市湖內區東方路110號,http://www.tf.edu.tw,（無）
經國管理暨健康學院,02-2437-2093 #402,02-2437-6209,20301 基隆市中山區復興路336號,http://www.cku.edu.tw/,經國學院
崇右技術學院,02-2423-7785,02-2429-3639,20103 基隆市信義區義七路40號,http://www.cit.edu.tw, 崇右學院
大同技術學院,05-222-3124,05-225-2393,60005 嘉義市彌陀路253號,http://www.ttc.edu.tw/,（無）
亞太學校財團法人亞太創意技術學院,037-605-500,037-605-556,35153 苗栗縣頭份鎮珊湖里學府路110號,http://www.apic.edu.tw/,亞太學院
高鳳數位內容學院,08-762-6365,08-762-7882,90841 屏東縣長治鄉復興村新興路38號,http://www.kfcdc.edu.tw/,高鳳學院
華夏技術學院,02-8941-5100,02-8941-5730,23568 新北市中和區工專路111號,http://www.hwh.edu.tw/,（無）
臺灣觀光學院,03-865-3906,03-865-0411,97448 花蓮縣壽豐鄉豐山村中興街268號,http://www.tht.edu.tw/,臺觀院
台北海洋技術學院,02-2810-2292,02-2810-6688,11174 臺北市士林區延平北路九段212號,http://www.tcmt.edu.tw/,（無）
馬偕醫學院,02-2636-0303,02-2636-1134,25245 新北市三芝區中正路3段46號,http://www.mmc.edu.tw,（無）
法鼓佛教學院,02-2498-0707,02-2408-2317,20842 新北市金山區西勢湖 2-6號,http://www.ddbc.edu.tw,（無）
學校財團法人中華浸信會基督教臺灣浸會神學院,02-2723-9500 #143,02-2722-4646,11045 臺北市吳興街394巷1號,http://www.tbts.edu.tw/,（無）
臺北基督學院,02-2809-7661 #1100,02-2809-6631,25162 新北市淡水區自強路51號,http://www.cct.edu.tw,（無）
臺北市立大學,02-2311-3040,02-2381-4067,10048 臺北市中正區愛國西路1號,http://www.utaipei.edu.tw/,北市大
高雄市立空中大學,07-801-2008,07-806-6725,81249 高雄市小港區大業北路436號,http://www.ouk.edu.tw,高雄空大
中華民國陸軍軍官學校,07-746-2151,07-719-3168,83059 高雄市鳳山區維武路1號,http://www.cma.edu.tw,陸軍官校
海軍軍官學校,07-581-7366,07-588-2447,81345 高雄市左營區軍校路669號,http://www.cna.edu.tw,海軍官校
中華民國空軍軍官學校,07-625-4141,07-626-3263,820 高雄市岡山區介壽西路西首1號,http://http：//www.cafa.edu.tw,空軍官校
國防大學,03-380-1126,03-373-2032,33448 桃園縣八德市興豐路1000號,http://www.ndu.edu.tw/,（無）
中央警察大學,03-328-2321,03-328-4118,33304 桃園縣龜山鄉大崗村樹人路56號,http://www.cpu.edu.tw,警大
國防醫學院,02-8792-3100,02-8792-3311,11490 台北市內湖區民權東路6段161號,http://www.ndmctsgh.edu.tw,國防醫
國立空軍航空技術學院,07-625-4141,07-625-6530,82047 高雄市岡山區介壽西路198號,http://www.afats.khc.edu.tw/,空軍航院、航院
